OID_,NAME,ABBREV,GNIS_ID,FIPS_CODE,SWIS,NYSP_ZONE,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,NYC,CALC_SQ_MI,DATEMOD,SHAPE_Length,SHAPE_Area,PerProt,BearTake
47,Schoharie,SCHO,974145,36095,430000,East,31859,31582,32749,29714,,,N,625.838595546497004,5/19/2020 0:00:00,186763.360988497443032,1620913908.600564479827881,8.580312415000000,299.000000000000000
48,Schuyler,SCHU,974146,36097,440000,Central,18662,19224,18343,17898,,,N,342.128749435159023,11/13/2018 0:00:00,157807.420783933484927,886109062.644825816154480,16.185349450000000,47.000000000000000
49,Seneca,SENE,974147,36099,450000,Central,33683,33342,35251,33814,,,N,390.357217474951995,,162301.280262283777120,1011020177.998507976531982,3.373820498000000,2.000000000000000
50,St Lawrence,STLA,977309,36089,400000,East,111974,111931,111944,108505,,,N,2818.742613328300195,11/19/2018 0:00:00,349497.514735196949914,7300507264.981266975402832,14.675159239999999,1203.000000000000000
51,Steuben,STEU,974148,36101,460000,Central,99088,98726,98990,93584,,,N,1404.077922894160110,4/26/2019 0:00:00,259450.224229366809595,3636543766.328300476074219,3.251442305000000,1225.000000000000000
52,Suffolk,SUFF,974149,36103,470000,Long Island,1321864,1419369,1493350,1525920,,,N,2372.634185434440042,,385044.762177032069303,6145091914.543627738952637,4.895290386000000,0.000000000000000
53,Sullivan,SULL,974150,36105,480000,East,69277,73966,77547,78624,,,N,995.454965541365027,5/15/2020 0:00:00,255870.713774195290171,2578215538.741792678833008,6.015390463000000,2094.000000000000000
54,Tioga,TIOG,974151,36107,490000,Central,52337,51784,51125,48455,,,N,522.401122135501055,4/26/2019 0:00:00,195615.693412496795645,1353012185.787211894989014,3.369524246000000,83.000000000000000
55,Tompkins,TOMP,974152,36109,500000,Central,94097,96501,101564,105740,,,N,491.569555459307026,11/28/2018 0:00:00,175483.387467744265450,1273158828.742577791213989,9.444217537000000,19.000000000000000
56,Ulster,ULST,974153,36111,510000,East,165304,177749,182493,181851,,,N,1161.254720074960005,10/25/2017 0:00:00,275405.462076240568422,3007634768.826191425323486,25.190847309999999,2079.000000000000000
57,Warren,WARR,974154,36113,520000,East,59209,63303,65707,65737,,,N,930.668940880899981,12/3/2018 0:00:00,264775.467749976320192,2410420610.379488945007324,34.730876780000003,478.000000000000000
58,Washington,WASH,974155,36115,530000,East,59330,61042,63216,61302,,,N,845.855708120398958,11/10/2017 0:00:00,302358.940975333622191,2190755419.095129013061523,6.346228461000000,168.000000000000000
59,Wayne,WAYN,974156,36117,540000,Central,89123,93765,93772,91283,,,N,1395.598958576350014,2/8/2018 0:00:00,254972.173625831783284,3614583392.350961685180664,1.178283507000000,2.000000000000000
60,Westchester,WEST,974157,36119,550000,East,874866,923459,949113,1004457,,,N,499.972897384868986,10/4/2019 0:00:00,182997.641906429140363,1294923355.028228759765625,2.068081426000000,7.000000000000000
61,Wyoming,WYOM,974158,36121,560000,West,42507,43424,42155,40531,,,N,596.822632577181025,9/20/2018 0:00:00,176096.892442848155042,1545762952.744533538818359,2.220252690000000,29.000000000000000
62,Yates,YATE,974159,36123,570000,Central,22810,24621,25348,24774,,,N,375.771538940223024,2/8/2018 0:00:00,141535.612285949609941,973243456.833889126777649,3.484202415000000,36.000000000000000
